,channel,title,url,date,img-src,sortkey
0,The Star,Wild animals roam freely during MCO,https://www.youtube.com/watch?v=CFSrNP_8-1I,2020-04-28,https://yt3.ggpht.com/a/AATXAJxte_G1KhGHmRzfV6djHuy_inX8MhwVcemT6A=s48-c-k-c0xffffffff-no-rj-mo,2020-04-28:Wild animals roam freely during MCO
1,The Thaiger,"Thailand News Today - April 28, 2020",https://www.youtube.com/watch?v=Ts_Cgt22fDg,2020-04-28,https://yt3.ggpht.com/a/AATXAJxXc1_ViGEV1JFGtS9jYoF4G6oAoTuF_TyDsA=s48-c-k-c0xffffffff-no-rj-mo,"2020-04-28:Thailand News Today - April 28, 2020"
2,Rappler,Taiwan rejects deportation of OFW critical of Duterte,https://www.youtube.com/watch?v=i6HloKMSJJ8,2020-04-28,https://yt3.ggpht.com/a/AATXAJx1U6tsw5O7TN_W1ptdwXpdlVTIZg4GP_-ouw=s48-c-k-c0xffffffff-no-rj-mo,2020-04-28:Taiwan rejects deportation of OFW critical of Duterte
3,THE MALAYSIAN INSIGHT,"TMI Top News: Deputy minister, exco plead guilty to breaching MCO",https://www.youtube.com/watch?v=-pWIq7O8B5I,2020-04-28,https://yt3.ggpht.com/a/AATXAJy1jTTF4kSeCqqEcfOolFd4cDUzOKUNzQrZVA=s48-c-k-c0xffffffff-no-rj-mo,"2020-04-28:TMI Top News: Deputy minister, exco plead guilty to breaching MCO"
4,CNA,Singapore's religious leaders mark IRO Day online via video conferencing,https://www.youtube.com/watch?v=mtcKQUT0fo4,2020-04-28,https://yt3.ggpht.com/a/AATXAJyNO1OasteohNJvuwpHJEV6-wN9nt1rofR0Rg=s48-c-k-c0xffffffff-no-rj-mo,2020-04-28:Singapore's religious leaders mark IRO Day online via video conferencing
5,CNA,Singapore local arts groups receive overwhelming response to their performances online,https://www.youtube.com/watch?v=VgSPIIaUz7c,2020-04-28,https://yt3.ggpht.com/a/AATXAJyNO1OasteohNJvuwpHJEV6-wN9nt1rofR0Rg=s48-c-k-c0xffffffff-no-rj-mo,2020-04-28:Singapore local arts groups receive overwhelming response to their performances online
6,The Star,"Service sector will be opened up slowly but surely, says ministry",https://www.youtube.com/watch?v=lqovPjv9tbQ,2020-04-28,https://yt3.ggpht.com/a/AATXAJxte_G1KhGHmRzfV6djHuy_inX8MhwVcemT6A=s48-c-k-c0xffffffff-no-rj-mo,"2020-04-28:Service sector will be opened up slowly but surely, says ministry"
7,THE MALAYSIAN INSIGHT,Selayang Baru disebalik sekatan kawat berduri,https://www.youtube.com/watch?v=UUD2nCdKNrA,2020-04-28,https://yt3.ggpht.com/a/AATXAJy1jTTF4kSeCqqEcfOolFd4cDUzOKUNzQrZVA=s48-c-k-c0xffffffff-no-rj-mo,2020-04-28:Selayang Baru disebalik sekatan kawat berduri
8,ANC 24/7,"Roque on possible human rights violations during ECQ: Not a concern, we only had isolated cases",https://www.youtube.com/watch?v=f6qDji-hXlY,2020-04-28,https://yt3.ggpht.com/a/AATXAJzVTRN4f3WXd-gRZTn8wIfRBrf_y5db39IsNQ=s48-c-k-c0xffffffff-no-rj-mo,"2020-04-28:Roque on possible human rights violations during ECQ: Not a concern, we only had isolated cases"
9,Rappler,QC authorities maul fish vendor for not wearing mask | Evening wRap,https://www.youtube.com/watch?v=rW0MmADJuDk,2020-04-28,https://yt3.ggpht.com/a/AATXAJx1U6tsw5O7TN_W1ptdwXpdlVTIZg4GP_-ouw=s48-c-k-c0xffffffff-no-rj-mo,2020-04-28:QC authorities maul fish vendor for not wearing mask | Evening wRap
10,Rappler,Pentagon releases 'UFO' videos taken by U.S. Navy pilots,https://www.youtube.com/watch?v=W1kGmUliDNs,2020-04-28,https://yt3.ggpht.com/a/AATXAJx1U6tsw5O7TN_W1ptdwXpdlVTIZg4GP_-ouw=s48-c-k-c0xffffffff-no-rj-mo,2020-04-28:Pentagon releases 'UFO' videos taken by U.S. Navy pilots
11,THE MALAYSIAN INSIGHT,Pentagon officially releases UFO videos,https://www.youtube.com/watch?v=UQenB8ruN58,2020-04-28,https://yt3.ggpht.com/a/AATXAJy1jTTF4kSeCqqEcfOolFd4cDUzOKUNzQrZVA=s48-c-k-c0xffffffff-no-rj-mo,2020-04-28:Pentagon officially releases UFO videos
12,NBT WORLD,"Newsline Daily Highlights April 28th, 2020",https://www.youtube.com/watch?v=9C3f7MfLn0A,2020-04-28,https://yt3.ggpht.com/a/AATXAJy02YtMQj0Q-LzkfIs8MDdp-7oz5lAIcmE3nA=s48-c-k-c0xffffffff-no-rj-mo,"2020-04-28:Newsline Daily Highlights April 28th, 2020"
13,ANC 24/7,Lack of PPE blamed for COVID-19 deaths among Filipino frontliners in UK,https://www.youtube.com/watch?v=FkiuP5n2bGs,2020-04-28,https://yt3.ggpht.com/a/AATXAJzVTRN4f3WXd-gRZTn8wIfRBrf_y5db39IsNQ=s48-c-k-c0xffffffff-no-rj-mo,2020-04-28:Lack of PPE blamed for COVID-19 deaths among Filipino frontliners in UK
14,The Star,"KL wholesale market: Ministry carrying out detection, contact tracing",https://www.youtube.com/watch?v=83xzNOfAG-A,2020-04-28,https://yt3.ggpht.com/a/AATXAJxte_G1KhGHmRzfV6djHuy_inX8MhwVcemT6A=s48-c-k-c0xffffffff-no-rj-mo,"2020-04-28:KL wholesale market: Ministry carrying out detection, contact tracing"
15,THE MALAYSIAN INSIGHT,"Jumlah kes Covid-19 setakat 28 April, 2020",https://www.youtube.com/watch?v=I-yqSx_p-ho,2020-04-28,https://yt3.ggpht.com/a/AATXAJy1jTTF4kSeCqqEcfOolFd4cDUzOKUNzQrZVA=s48-c-k-c0xffffffff-no-rj-mo,"2020-04-28:Jumlah kes Covid-19 setakat 28 April, 2020"
16,ANC 24/7,IBP President to law enforcers: No cruel punishment may be inflicted to anyone,https://www.youtube.com/watch?v=sNh-kGZTvTk,2020-04-28,https://yt3.ggpht.com/a/AATXAJzVTRN4f3WXd-gRZTn8wIfRBrf_y5db39IsNQ=s48-c-k-c0xffffffff-no-rj-mo,2020-04-28:IBP President to law enforcers: No cruel punishment may be inflicted to anyone
17,The Star,Healthcare workers to be tested twice weekly once new test kits arrive,https://www.youtube.com/watch?v=MIEvKFNHDjo,2020-04-28,https://yt3.ggpht.com/a/AATXAJxte_G1KhGHmRzfV6djHuy_inX8MhwVcemT6A=s48-c-k-c0xffffffff-no-rj-mo,2020-04-28:Healthcare workers to be tested twice weekly once new test kits arrive
18,The Star,Health Ministry unsure if baby got Covid-19 in utero,https://www.youtube.com/watch?v=mvegA6aEMV8,2020-04-28,https://yt3.ggpht.com/a/AATXAJxte_G1KhGHmRzfV6djHuy_inX8MhwVcemT6A=s48-c-k-c0xffffffff-no-rj-mo,2020-04-28:Health Ministry unsure if baby got Covid-19 in utero
19,Rappler,Government changes list of areas under ECQ,https://www.youtube.com/watch?v=yBoWxDn-zhs,2020-04-28,https://yt3.ggpht.com/a/AATXAJx1U6tsw5O7TN_W1ptdwXpdlVTIZg4GP_-ouw=s48-c-k-c0xffffffff-no-rj-mo,2020-04-28:Government changes list of areas under ECQ
20,CNA,Getai streams online to entertain elderly during COVID-19 circuit breaker period,https://www.youtube.com/watch?v=Hpv5KrZXbFA,2020-04-28,https://yt3.ggpht.com/a/AATXAJyNO1OasteohNJvuwpHJEV6-wN9nt1rofR0Rg=s48-c-k-c0xffffffff-no-rj-mo,2020-04-28:Getai streams online to entertain elderly during COVID-19 circuit breaker period
21,CNA,"COVID-19: OCBC Bank, staff donate over S$1.2 million to needy families, migrant workers",https://www.youtube.com/watch?v=TrqeCt9TtgY,2020-04-28,https://yt3.ggpht.com/a/AATXAJyNO1OasteohNJvuwpHJEV6-wN9nt1rofR0Rg=s48-c-k-c0xffffffff-no-rj-mo,"2020-04-28:COVID-19: OCBC Bank, staff donate over S$1.2 million to needy families, migrant workers"
22,THE MALAYSIAN INSIGHT,"Berita TMI: Noor Azmi, Razman mengaku salah langgar PKP",https://www.youtube.com/watch?v=H9sl-aVFtpM,2020-04-28,https://yt3.ggpht.com/a/AATXAJy1jTTF4kSeCqqEcfOolFd4cDUzOKUNzQrZVA=s48-c-k-c0xffffffff-no-rj-mo,"2020-04-28:Berita TMI: Noor Azmi, Razman mengaku salah langgar PKP"
23,ANC 24/7,BPI optimistic over Q2 revenues despite COVID-19 pandemic,https://www.youtube.com/watch?v=ecL8rowD2xY,2020-04-28,https://yt3.ggpht.com/a/AATXAJzVTRN4f3WXd-gRZTn8wIfRBrf_y5db39IsNQ=s48-c-k-c0xffffffff-no-rj-mo,2020-04-28:BPI optimistic over Q2 revenues despite COVID-19 pandemic
24,CNA,"APB donates S$75,000 to help migrant workers affected by COVID-19",https://www.youtube.com/watch?v=O9AmlUN0eQE,2020-04-28,https://yt3.ggpht.com/a/AATXAJyNO1OasteohNJvuwpHJEV6-wN9nt1rofR0Rg=s48-c-k-c0xffffffff-no-rj-mo,"2020-04-28:APB donates S$75,000 to help migrant workers affected by COVID-19"
25,ANC 24/7,ANC COVID-19 Headlines - 04/28/20,https://www.youtube.com/watch?v=omtbcdd6rnY,2020-04-28,https://yt3.ggpht.com/a/AATXAJzVTRN4f3WXd-gRZTn8wIfRBrf_y5db39IsNQ=s48-c-k-c0xffffffff-no-rj-mo,2020-04-28:ANC COVID-19 Headlines - 04/28/20
26,Rappler,"AFP chief asked Chinese envoy help to buy COVID-19 'medicine,' then recalls letter",https://www.youtube.com/watch?v=BLUyiIK27H8,2020-04-28,https://yt3.ggpht.com/a/AATXAJx1U6tsw5O7TN_W1ptdwXpdlVTIZg4GP_-ouw=s48-c-k-c0xffffffff-no-rj-mo,"2020-04-28:AFP chief asked Chinese envoy help to buy COVID-19 'medicine,' then recalls letter"
27,The Thaiger,"Thailand News Today - April 27, 2020",https://www.youtube.com/watch?v=1PTHomRe5hI,2020-04-27,https://yt3.ggpht.com/a/AATXAJxXc1_ViGEV1JFGtS9jYoF4G6oAoTuF_TyDsA=s48-c-k-c0xffffffff-no-rj-mo,"2020-04-27:Thailand News Today - April 27, 2020"
28,NBT WORLD,Public Health Ministry - Rapid COVID-19 tests are not reliable,https://www.youtube.com/watch?v=zuWN2Vm1D8E,2020-04-27,https://yt3.ggpht.com/a/AATXAJy02YtMQj0Q-LzkfIs8MDdp-7oz5lAIcmE3nA=s48-c-k-c0xffffffff-no-rj-mo,2020-04-27:Public Health Ministry - Rapid COVID-19 tests are not reliable
29,NBT WORLD,Mongkutwattana Hospital offers COVID-19 screening,https://www.youtube.com/watch?v=rUup0I70Zos,2020-04-27,https://yt3.ggpht.com/a/AATXAJy02YtMQj0Q-LzkfIs8MDdp-7oz5lAIcmE3nA=s48-c-k-c0xffffffff-no-rj-mo,2020-04-27:Mongkutwattana Hospital offers COVID-19 screening
30,TODAYonline,Miniature robot car reminds visitors to adhere to safe distancing rules,https://www.youtube.com/watch?v=NfyNMdxLzik,2020-04-27,https://yt3.ggpht.com/a/AATXAJzeia3RRPIxPA8uVQTxGN1Pa2d5lnTalzzvig=s48-c-k-c0xffffffff-no-rj-mo,2020-04-27:Miniature robot car reminds visitors to adhere to safe distancing rules
31,NBT WORLD,Mae Sai accepts more returning Thais from Myanmar,https://www.youtube.com/watch?v=-4E0LIXW-So,2020-04-27,https://yt3.ggpht.com/a/AATXAJy02YtMQj0Q-LzkfIs8MDdp-7oz5lAIcmE3nA=s48-c-k-c0xffffffff-no-rj-mo,2020-04-27:Mae Sai accepts more returning Thais from Myanmar
32,NBT WORLD,A thousand people expected to return to Thailand this week,https://www.youtube.com/watch?v=ohCtRIE2ibQ,2020-04-27,https://yt3.ggpht.com/a/AATXAJy02YtMQj0Q-LzkfIs8MDdp-7oz5lAIcmE3nA=s48-c-k-c0xffffffff-no-rj-mo,2020-04-27:A thousand people expected to return to Thailand this week
33,TODAYonline,"1 in 15 migrant workers in dormitories tested for Covid-19, says Health Minister Gan Kim Yong",https://www.youtube.com/watch?v=3AI9jhu_-YQ,2020-04-27,https://yt3.ggpht.com/a/AATXAJzeia3RRPIxPA8uVQTxGN1Pa2d5lnTalzzvig=s48-c-k-c0xffffffff-no-rj-mo,"2020-04-27:1 in 15 migrant workers in dormitories tested for Covid-19, says Health Minister Gan Kim Yong"
34,The Jakarta Post,Protecting overcrowded prisons from virus,https://www.youtube.com/watch?v=1XxiDKvhQcQ,2020-04-26,https://yt3.ggpht.com/a/AATXAJyue3ZA7E31At5p9OBz5K7yVWhy0HLpGnOVdg=s48-c-k-c0xffffffff-no-rj-mo,2020-04-26:Protecting overcrowded prisons from virus
35,BangkokPost,Making merit in time of crisis,https://www.youtube.com/watch?v=uSI2OEc1Ef8,2020-04-26,https://yt3.ggpht.com/a/AATXAJyfVKq46m3-dNubmjhxCfsI-b7jrIhyLMajUg=s48-c-k-c0xffffffff-no-rj-mo,2020-04-26:Making merit in time of crisis
36,BangkokPost,Innovations to fight virus,https://www.youtube.com/watch?v=Oz_9sUtm7EQ,2020-04-26,https://yt3.ggpht.com/a/AATXAJyfVKq46m3-dNubmjhxCfsI-b7jrIhyLMajUg=s48-c-k-c0xffffffff-no-rj-mo,2020-04-26:Innovations to fight virus
37,TODAYonline,Community isolation facility for Covid-19 patients showcases Smart Nation capabilities,https://www.youtube.com/watch?v=aYv7etdtMuU,2020-04-26,https://yt3.ggpht.com/a/AATXAJzeia3RRPIxPA8uVQTxGN1Pa2d5lnTalzzvig=s48-c-k-c0xffffffff-no-rj-mo,2020-04-26:Community isolation facility for Covid-19 patients showcases Smart Nation capabilities
38,The Jakarta Post,Scythes and monsters: Indonesian artists teach coronavirus care,https://www.youtube.com/watch?v=KpA3BoSAXtw,2020-04-25,https://yt3.ggpht.com/a/AATXAJyue3ZA7E31At5p9OBz5K7yVWhy0HLpGnOVdg=s48-c-k-c0xffffffff-no-rj-mo,2020-04-25:Scythes and monsters: Indonesian artists teach coronavirus care
39,The Thaiger,"Thailand News Today - April 24, 2020",https://www.youtube.com/watch?v=X6jHpdf4pCU,2020-04-24,https://yt3.ggpht.com/a/AATXAJxXc1_ViGEV1JFGtS9jYoF4G6oAoTuF_TyDsA=s48-c-k-c0xffffffff-no-rj-mo,"2020-04-24:Thailand News Today - April 24, 2020"
40,The Jakarta Post,"Parents and children who exercise together, stay together",https://www.youtube.com/watch?v=8RuKIqGYcrU,2020-04-24,https://yt3.ggpht.com/a/AATXAJyue3ZA7E31At5p9OBz5K7yVWhy0HLpGnOVdg=s48-c-k-c0xffffffff-no-rj-mo,"2020-04-24:Parents and children who exercise together, stay together"
41,The Thaiger,"Thailand News Today - April 23, 2020",https://www.youtube.com/watch?v=UUyn3gY4FKw,2020-04-23,https://yt3.ggpht.com/a/AATXAJxXc1_ViGEV1JFGtS9jYoF4G6oAoTuF_TyDsA=s48-c-k-c0xffffffff-no-rj-mo,"2020-04-23:Thailand News Today - April 23, 2020"
42,The Jakarta Post,A Ramadan like never before,https://www.youtube.com/watch?v=DX0zPSqHCbw,2020-04-23,https://yt3.ggpht.com/a/AATXAJyue3ZA7E31At5p9OBz5K7yVWhy0HLpGnOVdg=s48-c-k-c0xffffffff-no-rj-mo,2020-04-23:A Ramadan like never before
43,The Thaiger,"Thailand News Today - April 22, 2020",https://www.youtube.com/watch?v=lzOqieHbTt0,2020-04-22,https://yt3.ggpht.com/a/AATXAJxXc1_ViGEV1JFGtS9jYoF4G6oAoTuF_TyDsA=s48-c-k-c0xffffffff-no-rj-mo,"2020-04-22:Thailand News Today - April 22, 2020"
44,TODAYonline,How Surbana Jurong turned Singapore Expo into a Covid-19 care facility,https://www.youtube.com/watch?v=IiHJOw9pylU,2020-04-22,https://yt3.ggpht.com/a/AATXAJzeia3RRPIxPA8uVQTxGN1Pa2d5lnTalzzvig=s48-c-k-c0xffffffff-no-rj-mo,2020-04-22:How Surbana Jurong turned Singapore Expo into a Covid-19 care facility
45,TODAYonline,Covid-19: Inside the foreign worker dormitories,https://www.youtube.com/watch?v=Puy8nw-ILIY,2020-04-22,https://yt3.ggpht.com/a/AATXAJzeia3RRPIxPA8uVQTxGN1Pa2d5lnTalzzvig=s48-c-k-c0xffffffff-no-rj-mo,2020-04-22:Covid-19: Inside the foreign worker dormitories
46,The Jakarta Post,Indonesia rolls out droids in virus battle,https://www.youtube.com/watch?v=iluMsexn1y4,2020-04-21,https://yt3.ggpht.com/a/AATXAJyue3ZA7E31At5p9OBz5K7yVWhy0HLpGnOVdg=s48-c-k-c0xffffffff-no-rj-mo,2020-04-21:Indonesia rolls out droids in virus battle
47,BangkokPost,Helping hands from temples,https://www.youtube.com/watch?v=jIXHQPGBuyw,2020-04-19,https://yt3.ggpht.com/a/AATXAJyfVKq46m3-dNubmjhxCfsI-b7jrIhyLMajUg=s48-c-k-c0xffffffff-no-rj-mo,2020-04-19:Helping hands from temples
48,BangkokPost,Free meals,https://www.youtube.com/watch?v=0tdC-yEy8t4,2020-04-08,https://yt3.ggpht.com/a/AATXAJyfVKq46m3-dNubmjhxCfsI-b7jrIhyLMajUg=s48-c-k-c0xffffffff-no-rj-mo,2020-04-08:Free meals
49,BangkokPost,Coronavirus saps ad spending,https://www.youtube.com/watch?v=xWO1qmxWt74,2020-04-08,https://yt3.ggpht.com/a/AATXAJyfVKq46m3-dNubmjhxCfsI-b7jrIhyLMajUg=s48-c-k-c0xffffffff-no-rj-mo,2020-04-08:Coronavirus saps ad spending
